wheel-0.37.1.tar.gz wheel-0.37.1
man-db-2.10.2.tar.xz man-db-2.10.2
xz-5.2.6.tar.xz xz-5.2.6
libtool-2.4.7.tar.xz libtool-2.4.7
iproute2-5.19.0.tar.xz iproute2-5.19.0
Python-3.10.6.tar.xz Python-3.10.6
systemd-man-pages-251.tar.xz systemd-man-pages-251
gettext-0.21.tar.xz gettext-0.21
attr-2.5.1.tar.gz attr-2.5.1
autoconf-2.71.tar.xz autoconf-2.71
zstd-1.5.2.tar.gz zstd-1.5.2
XML-Parser-2.46.tar.gz XML-Parser-2.46
Jinja2-3.1.2.tar.gz Jinja2-3.1.2
elfutils-0.187.tar.bz2 elfutils-0.187
tar-1.34.tar.xz tar-1.34
systemd-251.tar.gz systemd-251
check-0.15.2.tar.gz check-0.15.2
openssl-3.0.5.tar.gz openssl-3.0.5
grub-2.06.tar.xz grub-2.06
tcl8.6.12-src.tar.gz tcl8.6.12-src
meson-0.63.1.tar.gz meson-0.63.1
kbd-2.5.1.tar.xz kbd-2.5.1
readline-8.1.2.tar.gz readline-8.1.2
grep-3.7.tar.xz grep-3.7
mpfr-4.1.0.tar.xz mpfr-4.1.0
sed-4.8.tar.xz sed-4.8
ncurses-6.3.tar.gz ncurses-6.3
automake-1.16.5.tar.xz automake-1.16.5
expect5.45.4.tar.gz expect5.45.4
perl-5.36.0.tar.xz perl-5.36.0
man-pages-5.13.tar.xz man-pages-5.13
shadow-4.12.2.tar.xz shadow-4.12.2
binutils-2.39.tar.xz binutils-2.39
gzip-1.12.tar.xz gzip-1.12
e2fsprogs-1.46.5.tar.gz e2fsprogs-1.46.5
inetutils-2.3.tar.xz inetutils-2.3
vim-9.0.0228.tar.gz vim-9.0.0228
MarkupSafe-2.1.1.tar.gz MarkupSafe-2.1.1
python-3.10.6-docs-html.tar.bz2 python-3.10.6-docs-html
diffutils-3.8.tar.xz diffutils-3.8
kmod-30.tar.xz kmod-30
findutils-4.9.0.tar.xz findutils-4.9.0
gawk-5.1.1.tar.xz gawk-5.1.1
mpc-1.2.1.tar.gz mpc-1.2.1
linux-5.19.2.tar.xz linux-5.19.2
gcc-12.2.0.tar.xz gcc-12.2.0
tzdata2022c.tar.gz tzdata2022c
iana-etc-20220812.tar.gz iana-etc-20220812
libcap-2.65.tar.xz libcap-2.65
flex-2.6.4.tar.gz flex-2.6.4
psmisc-23.5.tar.xz psmisc-23.5
dbus-1.14.0.tar.xz dbus-1.14.0
coreutils-9.1.tar.xz coreutils-9.1
bzip2-1.0.8.tar.gz bzip2-1.0.8
tcl8.6.12-html.tar.gz tcl8.6.12-html
less-590.tar.gz less-590
texinfo-6.8.tar.xz texinfo-6.8
gmp-6.2.1.tar.xz gmp-6.2.1
patch-2.7.6.tar.xz patch-2.7.6
gperf-3.1.tar.gz gperf-3.1
acl-2.3.1.tar.xz acl-2.3.1
intltool-0.51.0.tar.gz intltool-0.51.0
ninja-1.11.0.tar.gz ninja-1.11.0
bash-5.1.16.tar.gz bash-5.1.16
groff-1.22.4.tar.gz groff-1.22.4
zlib-1.2.13.tar.xz zlib-1.2.13
bison-3.8.2.tar.xz bison-3.8.2
expat-2.4.8.tar.xz expat-2.4.8
libffi-3.4.2.tar.gz libffi-3.4.2
bc-6.0.1.tar.xz bc-6.0.1
dejagnu-1.6.3.tar.gz dejagnu-1.6.3
glibc-2.36.tar.xz glibc-2.36
procps-ng-4.0.0.tar.xz procps-ng-4.0.0
gdbm-1.23.tar.gz gdbm-1.23
pkg-config-0.29.2.tar.gz pkg-config-0.29.2
file-5.42.tar.gz file-5.42
m4-1.4.19.tar.xz m4-1.4.19
make-4.3.tar.gz make-4.3
util-linux-2.38.1.tar.xz util-linux-2.38.1
